product_barcode,price,location,datetime,product_name
7898219640208,4.99,Assaí Atacadista - São Gonçalo,2025-01-22 15:00:00+00:00,Goma Fresca Sinhá Maria 1kg
7898219640208,5.99,SantosCart,2025-01-22 15:00:00+00:00,Goma Fresca Sinhá Maria 1kg
0000000000003,6.9,Assaí Atacadista - São Gonçalo,2025-01-22 15:00:00+00:00,Ovos Brancos C/15
0000000000003,7.75,SantosCart,2025-01-22 15:00:00+00:00,Ovos Brancos C/15
0000000000001,13.8,Assaí Atacadista - São Gonçalo,2025-01-22 15:00:00+00:00,Ovos Brancos C/30
0000000000001,15.49,SantosCart,2025-01-22 15:00:00+00:00,Ovos Brancos C/30
7898403782387,6.49,SantosCart,2025-01-15 15:00:00+00:00,Leite Betânia UHT Integral c/tampa 1L
7898403782387,5.99,SuperFácil Atacado - São Gonçalo,2025-01-15 15:00:00+00:00,Leite Betânia UHT Integral c/tampa 1L
7891091011913,10.37,Carrefour - Natal ZN,2025-01-14 15:00:00+00:00,Café São Braz Família Almofada 250g
7891091011913,12.99,SantosCart,2025-01-14 15:00:00+00:00,Café São Braz Família Almofada 250g
7893000005945,21.99,SantosCart,2025-01-14 15:00:00+00:00,Filé de Peito de Frango Sadia Congelado 1kg
7893000005945,19.36,Carrefour - Natal ZN,2025-01-14 15:00:00+00:00,Filé de Peito de Frango Sadia Congelado 1kg
7896264671048,4.49,SantosCart,2025-01-11 15:00:00+00:00,Macarrão Estrela Parafuso 400g
7896264671048,3.89,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Macarrão Estrela Parafuso 400g
7891515410315,10.9,SantosCart,2025-01-11 15:00:00+00:00,Margarina Claybom Cremosa c/sal 1kg
7891515410315,8.99,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Margarina Claybom Cremosa c/sal 1kg
7894904271726,4.99,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Margarina Primor 500g
7894904271726,5.99,SantosCart,2025-01-11 15:00:00+00:00,Margarina Primor 500g
7894904929108,3.35,SantosCart,2025-01-11 15:00:00+00:00,Margarina Delicata Cremosa c/sal 250g
7894904929108,2.59,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Margarina Delicata Cremosa c/sal 250g
7896045112081,0.85,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Refresco em Pó Frisco Laranja 18g
7896045112081,0.99,SantosCart,2025-01-11 15:00:00+00:00,Refresco em Pó Frisco Laranja 18g
7891091012026,10.06,Carrefour - Natal ZN,2025-01-11 15:00:00+00:00,Café Nordestino Torrado e Moído 250g
7891091012026,11.99,SantosCart,2025-01-11 15:00:00+00:00,Café Nordestino Torrado e Moído 250g
7896224813082,11.09,Carrefour - Natal ZN,2025-01-11 15:00:00+00:00,Café Santa Clara Clássico Almofada 250g
7892840800406,4.99,SantosCart,2025-01-11 15:00:00+00:00,Refrigerante Pepsi 1L
7896224813082,12.49,SantosCart,2025-01-11 15:00:00+00:00,Café Santa Clara Clássico Almofada 250g
7892840800406,3.4,Carrefour - Natal ZN,2025-01-11 15:00:00+00:00,Refrigerante Pepsi 1L
7896005202074,4.99,SantosCart,2025-01-11 15:00:00+00:00,Farinha Trigo Dona Benta Tradicional 1kg
7896005202074,3.99,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Farinha Trigo Dona Benta Tradicional 1kg
7896005232705,5.99,SantosCart,2025-01-11 15:00:00+00:00,Farinha de Trigo Dona Benta c/fermento 1kg
7896005232705,4.59,"Atacadão - Zona Norte, Natal",2025-01-11 15:00:00+00:00,Farinha de Trigo Dona Benta c/fermento 1kg
